[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-09-10 20:31:51] |    DeviceControl.cpp-L1480: AcquisitionStop Execute Success 
[2018-09-10 20:31:51] |    StreamProcess.cpp-L1021: RecvThread exit
[2018-09-10 20:31:51] |    StreamProcess.cpp-L0324: getfcnt [380], getfcntsucceed[380], totalRecv[456] 
